Entity;Phone;State;Date;Duration;Hour
ABANCA;990161793;RECHAZADO;24/12/2020;00:00:00;13:49:00
ABANCA;990161793;RECHAZADO;11/02/2019;00:00:00;14:58:00
ABANCA;992692860;RECHAZADO;1/04/2022;00:00:00;11:31:00
ABANCA;996203521;RECHAZADO;8/09/2021;00:00:00;08:54:00
ABANCA;967912283;EFECTIVO;15/03/2022;03:32:00;14:00:00
ABANCA;996203521;RECHAZADO;7/10/2019;00:00:00;10:08:00
ABANCA;990547278;EFECTIVO;18/08/2021;01:10:00;13:00:00
ABANCA;990161793;RECHAZADO;4/11/2022;00:00:00;15:41:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990161793;RECHAZADO;24/12/2020;00:00:00;13:49:00
ABANCA;994990167;EFECTIVO;20/05/2022;04:00:00;11:00:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;990161793;EFECTIVO;12/12/2021;03:20:00;15:20:00
ABANCA;967912283;EFECTIVO;15/03/2022;03:32:00;14:00:00
ABANCA;990161794;EFECTIVO;30/06/2021;01:46:00;16:30:00
ABANCA;996203521;RECHAZADO;10/11/2021;00:00:00;13:04:00
ABANCA;992692860;EFECTIVO;28/06/2019;02:31:00;11:30:00
ABANCA;907484391;RECHAZADO;7/03/2019;00:00:00;16:05:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;990161783;EFECTIVO;1/11/2020;03:17:00;09:00:00
ABANCA;990547274;EFECTIVO;29/06/2022;01:46:00;13:30:00
ABANCA;990161783;EFECTIVO;15/03/2020;03:32:00;09:00:00
ABANCA;967912283;EFECTIVO;15/03/2022;03:32:00;14:00:00
ABANCA;907484390;EFECTIVO;7/09/2020;01:42:00;12:50:00
ABANCA;995621363;EFECTIVO;12/12/2021;03:20:00;14:00:00
ABANCA;990161794;EFECTIVO;5/06/2021;04:28:00;16:50:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;992692860;EFECTIVO;28/06/2019;02:31:00;11:30:00
ABANCA;995545520;RECHAZADO;11/10/2022;00:00:00;11:23:00
ABANCA;992692860;RECHAZADO;15/01/2022;00:00:00;13:03:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;13:05:00
ABANCA;995559384;RECHAZADO;21/09/2019;00:00:00;16:09:00
ABANCA;995545520;RECHAZADO;11/10/2022;00:00:00;11:23:00
ABANCA;990161793;RECHAZADO;27/11/2021;00:00:00;12:18:00
ABANCA;994990166;RECHAZADO;30/05/2019;00:00:00;13:41:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990161793;EFECTIVO;15/03/2022;03:32:00;15:00:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;907484391;RECHAZADO;12/12/2021;00:00:00;16:10:00
ABANCA;990547278;EFECTIVO;28/07/2019;03:16:00;10:30:00
ABANCA;994990166;EFECTIVO;12/04/2020;02:13:00;09:50:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;995545520;RECHAZADO;22/10/2021;00:00:00;10:13:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;995559384;RECHAZADO;21/09/2019;00:00:00;16:09:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;995545520;RECHAZADO;22/10/2021;00:00:00;10:13:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;990547274;EFECTIVO;25/06/2022;01:29:00;13:30:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;996203521;RECHAZADO;7/10/2019;00:00:00;10:08:00
ABANCA;992692860;EFECTIVO;23/11/2020;03:32:00;11:50:00
ABANCA;995545520;RECHAZADO;26/01/2019;00:00:00;13:55:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;967912283;EFECTIVO;23/08/2021;01:48:00;14:00:00
ABANCA;990161794;EFECTIVO;20/07/2021;03:23:00;16:30:00
ABANCA;992692860;EFECTIVO;23/11/2020;03:32:00;11:50:00
ABANCA;967912283;EFECTIVO;23/08/2021;01:48:00;14:00:00
ABANCA;995621373;EFECTIVO;16/04/2020;02:36:00;08:20:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990161783;EFECTIVO;3/05/2020;03:48:00;09:00:00
ABANCA;995545520;RECHAZADO;11/10/2022;00:00:00;11:23:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;992692860;RECHAZADO;6/07/2021;00:00:00;08:02:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995559384;RECHAZADO;21/09/2019;00:00:00;16:09:00
ABANCA;907484391;RECHAZADO;7/03/2019;00:00:00;16:15:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995545520;RECHAZADO;26/01/2019;00:00:00;13:55:00
ABANCA;995545520;EFECTIVO;9/05/2019;01:50:00;12:50:00
ABANCA;995545520;EFECTIVO;15/11/2021;02:36:00;12:30:00
ABANCA;990547274;EFECTIVO;23/11/2020;03:32:00;13:30:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;995631363;EFECTIVO;4/04/2022;03:37:00;18:00:00
ABANCA;995545520;RECHAZADO;22/10/2021;00:00:00;10:13:00
ABANCA;995631363;EFECTIVO;25/06/2022;01:29:00;18:00:00
ABANCA;907484391;RECHAZADO;25/06/2022;00:00:00;16:20:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;990547279;EFECTIVO;18/08/2021;01:10:00;13:00:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;992692860;EFECTIVO;5/06/2021;04:28:00;11:50:00
ABANCA;995545520;RECHAZADO;26/01/2019;00:00:00;13:55:00
ABANCA;995545520;EFECTIVO;5/02/2019;01:04:00;12:30:00
ABANCA;967912283;EFECTIVO;18/09/2020;01:12:00;14:20:00
ABANCA;994990166;EFECTIVO;24/02/2022;03:33:00;09:30:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995434483;EFECTIVO;25/02/2022;03:47:00;17:30:00
ABANCA;992692860;RECHAZADO;13/05/2020;00:00:00;17:30:00
ABANCA;907484391;EFECTIVO;25/06/2022;01:29:00;17:20:00
ABANCA;990161783;EFECTIVO;3/05/2020;03:48:00;09:00:00
ABANCA;990547279;EFECTIVO;28/07/2019;03:16:00;13:00:00
ABANCA;995559384;EFECTIVO;12/12/2021;03:20:00;12:00:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995631363;EFECTIVO;3/12/2020;01:25:00;18:00:00
ABANCA;990161783;EFECTIVO;18/09/2020;01:12:00;09:00:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;992692860;EFECTIVO;12/12/2021;03:20:00;11:30:00
ABANCA;994990167;EFECTIVO;5/05/2020;02:19:00;11:00:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;996203521;RECHAZADO;8/09/2021;00:00:00;08:54:00
ABANCA;990161794;EFECTIVO;5/02/2019;01:04:00;16:50:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;12:54:00
ABANCA;995559384;EFECTIVO;12/11/2021;04:27:00;12:00:00
ABANCA;990547278;EFECTIVO;15/10/2019;03:45:00;10:50:00
ABANCA;907484390;EFECTIVO;16/04/2020;03:52:00;11:50:00
ABANCA;996203521;RECHAZADO;10/11/2021;00:00:00;13:04:00
ABANCA;995559384;EFECTIVO;15/11/2021;02:36:00;12:00:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;995434483;EFECTIVO;12/04/2020;02:13:00;17:30:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;995559384;RECHAZADO;21/09/2019;00:00:00;16:09:00
ABANCA;990161794;EFECTIVO;30/06/2021;01:46:00;16:30:00
ABANCA;995434483;EFECTIVO;3/01/2020;01:01:00;17:50:00
ABANCA;990547274;EFECTIVO;16/02/2020;03:19:00;13:50:00
ABANCA;907484391;EFECTIVO;25/06/2022;01:29:00;11:20:00
ABANCA;990161794;EFECTIVO;20/07/2021;03:23:00;16:30:00
ABANCA;996203521;RECHAZADO;10/11/2021;00:00:00;13:04:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;994990167;EFECTIVO;16/02/2020;03:19:00;11:00:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;907484390;EFECTIVO;23/11/2020;03:32:00;10:30:00
ABANCA;995621363;EFECTIVO;15/03/2022;03:32:00;14:00:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;11:25:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;995545520;RECHAZADO;11/10/2022;00:00:00;11:23:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;996203521;RECHAZADO;8/09/2021;00:00:00;08:54:00
ABANCA;907484391;EFECTIVO;25/06/2022;01:29:00;08:00:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;10:00:00
ABANCA;907484391;EFECTIVO;7/03/2019;02:50:00;08:00:00
ABANCA;994990166;RECHAZADO;30/05/2019;00:00:00;13:41:00
ABANCA;990547278;EFECTIVO;30/06/2021;01:46:00;13:00:00
ABANCA;907484391;EFECTIVO;12/12/2021;03:20:00;12:01:00
ABANCA;995621373;EFECTIVO;17/02/2019;04:13:00;08:00:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;907484390;EFECTIVO;3/01/2020;01:01:00;10:30:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;995559384;RECHAZADO;15/11/2019;00:00:00;16:50:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;10:51:00
ABANCA;907484390;EFECTIVO;7/09/2019;01:42:00;14:50:00
ABANCA;995621363;EFECTIVO;8/07/2021;04:06:00;14:00:00
ABANCA;994990166;EFECTIVO;15/03/2022;03:32:00;09:30:00
ABANCA;996203521;RECHAZADO;15/05/2022;00:00:00;08:08:00
ABANCA;995545520;RECHAZADO;7/01/2022;00:00:00;13:26:00
ABANCA;995631363;EFECTIVO;7/03/2019;02:50:00;18:00:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995545520;RECHAZADO;22/10/2021;00:00:00;10:13:00
ABANCA;995621363;EFECTIVO;27/06/2019;01:51:00;14:00:00
ABANCA;990547274;EFECTIVO;29/06/2022;01:46:00;13:30:00
ABANCA;967912283;RECHAZADO;15/07/2019;00:00:00;12:25:00
ABANCA;907484391;EFECTIVO;12/12/2021;03:20:00;10:45:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;995545520;RECHAZADO;26/01/2019;00:00:00;13:55:00
ABANCA;990547279;EFECTIVO;18/08/2021;03:40:00;13:00:00
ABANCA;992692860;EFECTIVO;13/09/2020;01:49:00;11:30:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995545520;RECHAZADO;22/10/2021;00:00:00;10:13:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;996203521;RECHAZADO;15/05/2022;00:00:00;08:08:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;995545520;RECHAZADO;22/10/2021;00:00:00;10:13:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;995545520;RECHAZADO;11/10/2022;00:00:00;11:23:00
ABANCA;990547278;RECHAZADO;18/02/2022;00:00:00;14:32:00
ABANCA;967912283;RECHAZADO;15/07/2019;00:00:00;12:25:00
ABANCA;992692860;RECHAZADO;1/04/2022;00:00:00;11:31:00
ABANCA;994990167;EFECTIVO;25/06/2022;01:29:00;11:00:00
ABANCA;967912283;EFECTIVO;18/09/2021;03:35:00;14:20:00
ABANCA;995434483;EFECTIVO;23/10/2020;04:22:00;17:50:00
ABANCA;967912283;EFECTIVO;18/09/2021;03:35:00;14:20:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;967912283;EFECTIVO;23/08/2021;01:48:00;14:00:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995545520;RECHAZADO;26/01/2019;00:00:00;13:55:00
ABANCA;907484391;EFECTIVO;5/02/2019;01:04:00;10:52:00
ABANCA;995545520;EFECTIVO;29/10/2022;02:09:00;12:50:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995559384;RECHAZADO;21/09/2019;00:00:00;16:09:00
ABANCA;994990166;EFECTIVO;25/06/2022;01:29:00;11:00:00
ABANCA;992692860;RECHAZADO;6/07/2021;00:00:00;08:02:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;996203521;RECHAZADO;15/05/2022;00:00:00;08:08:00
ABANCA;990547278;EFECTIVO;30/06/2021;01:46:00;13:00:00
ABANCA;995545520;RECHAZADO;11/10/2022;00:00:00;11:23:00
ABANCA;990547278;EFECTIVO;27/06/2019;01:51:00;10:30:00
ABANCA;992692860;EFECTIVO;5/06/2021;04:28:00;11:50:00
ABANCA;990547274;EFECTIVO;16/12/2019;04:09:00;13:50:00
ABANCA;995559384;RECHAZADO;21/09/2019;00:00:00;16:09:00
ABANCA;907484390;EFECTIVO;7/09/2019;01:42:00;14:50:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;907484392;EFECTIVO;3/01/2020;01:01:00;14:30:00
ABANCA;992692860;RECHAZADO;1/01/2021;00:00:00;14:50:00
ABANCA;995559384;RECHAZADO;16/11/2022;00:00:00;12:20:00
ABANCA;907484391;EFECTIVO;7/03/2019;02:50:00;08:00:00
ABANCA;995545520;RECHAZADO;26/01/2019;00:00:00;13:55:00
ABANCA;990547274;EFECTIVO;16/02/2020;03:19:00;13:50:00
ABANCA;994990166;EFECTIVO;5/05/2020;02:19:00;11:00:00
ABANCA;992692860;RECHAZADO;1/01/2021;00:00:00;14:50:00
ABANCA;995631363;EFECTIVO;18/08/2021;03:40:00;18:00:00
ABANCA;990547279;EFECTIVO;30/06/2021;01:46:00;13:00:00
ABANCA;990161794;EFECTIVO;5/02/2019;01:04:00;16:50:00
ABANCA;995545520;RECHAZADO;11/10/2022;00:00:00;11:23:00
ABANCA;907484390;EFECTIVO;8/11/2019;03:10:00;14:30:00
ABANCA;994990166;EFECTIVO;16/02/2020;03:19:00;11:00:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;995545520;RECHAZADO;26/01/2019;00:00:00;13:55:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;907484390;EFECTIVO;3/01/2020;01:01:00;14:30:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;11:50:00
ABANCA;967912283;RECHAZADO;15/07/2019;00:00:00;10:30:00
ABANCA;994990166;EFECTIVO;15/10/2019;03:45:00;11:25:00
ABANCA;990547278;EFECTIVO;28/07/2019;03:16:00;10:00:00
ABANCA;907484390;EFECTIVO;16/04/2020;03:52:00;11:50:00
ABANCA;907484390;EFECTIVO;3/01/2020;01:01:00;11:50:00
ABANCA;996203521;RECHAZADO;10/11/2021;00:00:00;13:04:00
ABANCA;990547274;EFECTIVO;16/12/2019;04:09:00;13:50:00
ABANCA;995545520;RECHAZADO;22/10/2021;00:00:00;10:13:00
ABANCA;967912283;EFECTIVO;18/08/2021;03:40:00;14:00:00
ABANCA;990161794;EFECTIVO;30/06/2021;01:46:00;16:30:00
ABANCA;995621373;EFECTIVO;5/02/2019;01:50:00;08:00:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;995621373;EFECTIVO;12/12/2021;01:04:00;08:20:00
ABANCA;992692860;RECHAZADO;15/01/2022;00:00:00;13:03:00
ABANCA;990547278;EFECTIVO;18/08/2021;03:40:00;13:00:00
ABANCA;995559384;EFECTIVO;16/04/2020;03:52:00;12:00:00
ABANCA;995621363;EFECTIVO;18/11/2021;02:45:00;14:00:00
ABANCA;907484392;EFECTIVO;7/09/2019;01:42:00;14:50:00
ABANCA;994990166;EFECTIVO;20/05/2022;04:00:00;11:00:00
ABANCA;995559384;EFECTIVO;5/02/2019;01:04:00;12:00:00
ABANCA;967912283;EFECTIVO;18/09/2020;01:12:00;14:20:00
ABANCA;967912283;EFECTIVO;15/03/2022;03:32:00;14:00:00
ABANCA;967912283;EFECTIVO;18/09/2021;03:35:00;14:20:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;990161794;EFECTIVO;5/06/2021;04:28:00;16:50:00
ABANCA;996203521;RECHAZADO;7/10/2019;00:00:00;10:08:00
ABANCA;907484391;EFECTIVO;19/09/2021;03:17:00;18:20:00
ABANCA;996203521;RECHAZADO;10/11/2021;00:00:00;13:04:00
ABANCA;907484391;EFECTIVO;19/09/2021;03:17:00;09:20:00
ABANCA;990547278;EFECTIVO;27/03/2020;01:45:00;10:50:00
ABANCA;995545520;EFECTIVO;12/04/2020;02:13:00;12:30:00
ABANCA;996203521;RECHAZADO;7/10/2019;00:00:00;10:08:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;907484390;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;967912283;EFECTIVO;21/04/2020;03:17:00;08:32:00
ABANCA;996203521;EFECTIVO;8/09/2021;03:48:00;08:54:00
ABANCA;907484390;EFECTIVO;20/10/2021;01:04:00;14:56:00
ABANCA;988410259;EFECTIVO;28/09/2022;03:35:00;13:46:00
ABANCA;996236478;EFECTIVO;21/04/2020;05:30:00;08:32:00
ABANCA;996236478;EFECTIVO;24/12/2020;01:00:00;13:49:00
ABANCA;996236478;EFECTIVO;24/12/2020;03:00:00;13:49:00
ABANCA;996236478;EFECTIVO;21/04/2020;03:17:00;08:32:00
ABANCA;996236478;EFECTIVO;8/09/2021;02:13:00;08:54:00
ABANCA;996236478;EFECTIVO;20/10/2021;03:35:00;14:56:00
ABANCA;996236478;EFECTIVO;4/11/2022;01:15:00;15:41:00
ABANCA;996236478;EFECTIVO;28/09/2022;03:35:00;13:46:00
ABANCA;965478966;EFECTIVO;19/09/2021;03:17:00;16:20:00
ABANCA;965478966;EFECTIVO;10/11/2021;01:15:00;13:04:00
ABANCA;965478966;EFECTIVO;3/05/2022;03:48:00;09:00:00
ABANCA;965478966;EFECTIVO;19/09/2021;03:17:00;16:20:00
ABANCA;965478966;EFECTIVO;27/03/2020;01:45:00;10:50:00
ABANCA;965478966;EFECTIVO;12/04/2020;02:13:00;12:30:00
ABANCA;965478966;EFECTIVO;7/10/2019;03:35:00;10:08:00
ABANCA;965478966;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;965478966;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;965478966;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;965478966;RECHAZADO;20/10/2021;00:00:00;14:56:00
ABANCA;965478966;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;963258745;EFECTIVO;12/09/2021;03:17:00;10:00:00
ABANCA;963258745;EFECTIVO;8/11/2021;00:00:00;13:04:00
ABANCA;963258745;EFECTIVO;4/05/2022;03:48:00;09:00:00
ABANCA;963258745;EFECTIVO;10/09/2021;03:17:00;16:20:00
ABANCA;963258745;EFECTIVO;30/03/2020;01:45:00;10:50:00
ABANCA;963258745;EFECTIVO;8/04/2020;02:13:00;10:00:00
ABANCA;963258745;EFECTIVO;15/10/2019;01:45:00;10:08:00
ABANCA;963256965;EFECTIVO;30/06/2021;03:17:00;13:04:00
ABANCA;963256965;EFECTIVO;11/02/2019;01:45:00;13:04:00
ABANCA;963256965;EFECTIVO;5/02/2019;03:48:00;12:00:00
ABANCA;963256965;EFECTIVO;10/08/2021;03:17:00;16:20:00
ABANCA;963256965;EFECTIVO;11/02/2019;01:45:00;10:50:00
ABANCA;963256965;EFECTIVO;1/11/2019;02:13:00;13:30:00
ABANCA;987456958;EFECTIVO;11/02/2019;01:17:00;08:00:00
ABANCA;987456958;EFECTIVO;20/10/2021;00:00:00;08:12:00
ABANCA;987456958;EFECTIVO;15/07/2019;03:48:00;09:00:00
ABANCA;987456958;EFECTIVO;15/10/2019;03:17:00;10:00:00
ABANCA;987456958;EFECTIVO;28/07/2019;01:45:00;10:50:00
ABANCA;987456958;EFECTIVO;12/04/2020;02:13:00;12:30:00
ABANCA;963582741;EFECTIVO;19/09/2021;03:17:00;16:20:00
ABANCA;963582741;EFECTIVO;10/11/2021;02:13:00;13:15:00
ABANCA;963582741;EFECTIVO;3/05/2022;03:48:00;09:00:00
ABANCA;963582741;EFECTIVO;19/09/2021;03:17:00;16:30:00
ABANCA;963582741;EFECTIVO;27/03/2020;01:45:00;15:14:00
ABANCA;963582741;EFECTIVO;12/04/2020;02:13:00;16:25:00
ABANCA;963258759;EFECTIVO;12/04/2021;01:13:00;12:30:00
ABANCA;963258759;EFECTIVO;19/10/2021;03:17:00;16:20:00
ABANCA;963258759;EFECTIVO;10/10/2021;02:13:00;18:00:00
ABANCA;963258759;EFECTIVO;3/02/2021;04:48:00;17:30:00
ABANCA;963258759;EFECTIVO;19/04/2021;03:17:00;14:40:00
ABANCA;963258759;EFECTIVO;27/04/2021;07:45:00;17:00:00
ABANCA;963258759;EFECTIVO;12/04/2021;02:13:00;17:30:00
ABANCA;965589633;EFECTIVO;19/05/2020;03:52:00;17:30:00
ABANCA;965589633;EFECTIVO;27/05/2020;01:45:00;17:54:00
ABANCA;965589633;EFECTIVO;12/04/2020;06:13:00;18:00:00
ABANCA;965478269;EFECTIVO;12/04/2020;02:13:00;15:00:00
ABANCA;965478269;EFECTIVO;19/09/2021;03:17:00;16:20:00
ABANCA;965478269;EFECTIVO;10/11/2021;02:13:00;15:15:00
ABANCA;963582741;EFECTIVO;3/05/2022;03:48:00;17:00:00
ABANCA;963582741;EFECTIVO;19/09/2021;03:17:00;17:00:00
ABANCA;963582741;EFECTIVO;27/03/2020;02:14:00;17:00:00
ABANCA;963582741;EFECTIVO;12/04/2020;02:13:00;16:25:00
